X,Y_evo_sceg-30,Y_evo_sdc,Y_evo_sdc-37,Y_evo_sdc-diam,Y_evo_sdc-h2o2,Y_evo_sdc-kcl,Y_evo_sdc-kcl-diam,Y_evo_sdc-kcl-h2o2,Y_evo_sdc-sorb,Y_evo_ypd,Y_evo_ypd-37,Y_evo_ypd-diam,Y_evo_ypd-h2o2,Y_evo_ypd-kcl,Y_evo_ypd-kcl-diam,Y_evo_ypd-kcl-h2o2,Y_evo_ypd-sorb,Y_evo_ypeg-30
-0.8418335,7.0943213,,,,,,,,,,,,,,,,,
-3.2568922,11.077953,,,,,,,,,,,,,,,,,
-2.1737044,11.021349,,,,,,,,,,,,,,,,,
-1.3712533,10.321911,,,,,,,,,,,,,,,,,
-2.5903096,8.763327,,,,,,,,,,,,,,,,,
-3.6470735,11.134672,,,,,,,,,,,,,,,,,
-2.8847728,9.717175,,,,,,,,,,,,,,,,,
-2.074804,10.507196,,,,,,,,,,,,,,,,,
-3.2272394,11.228077,,,,,,,,,,,,,,,,,
-2.8940291,11.800338,,,,,,,,,,,,,,,,,
-2.3642247,9.466358,,,,,,,,,,,,,,,,,
-2.682002,9.671618,,,,,,,,,,,,,,,,,
-3.4367356,9.836734,,,,,,,,,,,,,,,,,
-2.5606043,10.497264,,,,,,,,,,,,,,,,,
-2.2794812,10.626071,,,,,,,,,,,,,,,,,
-2.8729496,10.998685,,,,,,,,,,,,,,,,,
-3.4321527,11.053667,,,,,,,,,,,,,,,,,
-3.2055748,12.406136,,,,,,,,,,,,,,,,,
-3.0407896,7.465729,,,,,,,,,,,,,,,,,
-3.068249,10.88063,,,,,,,,,,,,,,,,,
-2.2098067,9.810406,,,,,,,,,,,,,,,,,
-1.9985012,11.353646,,,,,,,,,,,,,,,,,
-1.7379599,11.603721,,,,,,,,,,,,,,,,,
-3.8362522,8.973522,,,,,,,,,,,,,,,,,
-1.5228443,10.669199,,,,,,,,,,,,,,,,,
-3.4311757,13.020459,,,,,,,,,,,,,,,,,
-1.8033171,10.108652,,,,,,,,,,,,,,,,,
-2.387203,9.201931,,,,,,,,,,,,,,,,,
-2.1021266,11.463103,,,,,,,,,,,,,,,,,
-1.6733426,10.244842,,,,,,,,,,,,,,,,,
-2.9914076,10.060884,,,,,,,,,,,,,,,,,
-3.4807112,8.911544,,,,,,,,,,,,,,,,,
-1.3482695,10.108087,,,,,,,,,,,,,,,,,
-2.7967274,11.867207,,,,,,,,,,,,,,,,,
-3.5950139,10.720057,,,,,,,,,,,,,,,,,
-1.8199859,10.522869,,,,,,,,,,,,,,,,,
-3.493414,9.426155,,,,,,,,,,,,,,,,,
-2.7385771,12.133843,,,,,,,,,,,,,,,,,
-2.7040818,12.277871,,,,,,,,,,,,,,,,,
-3.5924537,13.090398,,,,,,,,,,,,,,,,,
-3.5985355,10.174244,,,,,,,,,,,,,,,,,
-3.7312274,10.675299,,,,,,,,,,,,,,,,,
-3.643347,12.962982,,,,,,,,,,,,,,,,,
-2.9971726,11.119636,,,,,,,,,,,,,,,,,
-3.3051908,12.135279,,,,,,,,,,,,,,,,,
-2.558287,11.717682,,,,,,,,,,,,,,,,,
-3.3290575,11.48874,,,,,,,,,,,,,,,,,
-2.451076,9.609758,,,,,,,,,,,,,,,,,
-2.0935214,11.50185,,,,,,,,,,,,,,,,,
-3.0334885,11.150326,,,,,,,,,,,,,,,,,
-1.4932219,9.663649,,,,,,,,,,,,,,,,,
-3.3623343,9.156705,,,,,,,,,,,,,,,,,
-3.2223735,12.243828,,,,,,,,,,,,,,,,,
-2.6299691,9.027958,,,,,,,,,,,,,,,,,
-3.405725,12.171634,,,,,,,,,,,,,,,,,
-1.444615,10.618701,,,,,,,,,,,,,,,,,
-3.2622917,8.38609,,,,,,,,,,,,,,,,,
-2.089085,11.541848,,,,,,,,,,,,,,,,,
-1.5550847,10.504262,,,,,,,,,,,,,,,,,
-3.097294,12.804718,,,,,,,,,,,,,,,,,
-3.4218137,10.960798,,,,,,,,,,,,,,,,,
-2.5804696,11.075651,,,,,,,,,,,,,,,,,
-3.1991425,9.219802,,,,,,,,,,,,,,,,,
-2.922576,12.77157,,,,,,,,,,,,,,,,,
-2.6008139,10.657934,,,,,,,,,,,,,,,,,
-2.0598888,12.033181,,,,,,,,,,,,,,,,,
-1.8459454,10.4042845,,,,,,,,,,,,,,,,,
-2.361925,10.650657,,,,,,,,,,,,,,,,,
-2.8322854,11.083342,,,,,,,,,,,,,,,,,
-3.6363704,11.564159,,,,,,,,,,,,,,,,,
-3.1476233,12.408323,,,,,,,,,,,,,,,,,
-2.1467645,11.96213,,,,,,,,,,,,,,,,,
-1.4222748,10.467179,,,,,,,,,,,,,,,,,
-2.7208667,11.056325,,,,,,,,,,,,,,,,,
-1.4945349,10.702414,,,,,,,,,,,,,,,,,
-0.8470609,5.7396817,,,,,,,,,,,,,,,,,
-1.7211481,9.63668,,,,,,,,,,,,,,,,,
-2.7194116,10.569503,,,,,,,,,,,,,,,,,
-3.7037873,9.392867,,,,,,,,,,,,,,,,,
-1.5980785,11.097187,,,,,,,,,,,,,,,,,
-1.475737,8.7385025,,,,,,,,,,,,,,,,,
-2.8501937,11.268077,,,,,,,,,,,,,,,,,
-2.7518086,12.351139,,,,,,,,,,,,,,,,,
-1.540672,10.14644,,,,,,,,,,,,,,,,,
-3.1918907,9.733068,,,,,,,,,,,,,,,,,
-1.9275813,10.372013,,,,,,,,,,,,,,,,,
-3.5944881,11.7244425,,,,,,,,,,,,,,,,,
-2.9670942,10.986236,,,,,,,,,,,,,,,,,
-3.2462034,12.314344,,,,,,,,,,,,,,,,,
-2.005099,11.233324,,,,,,,,,,,,,,,,,
-1.4372318,10.784542,,,,,,,,,,,,,,,,,
-2.1829062,9.663349,,,,,,,,,,,,,,,,,
-1.7607598,10.782415,,,,,,,,,,,,,,,,,
-1.8125451,9.559591,,,,,,,,,,,,,,,,,
